model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
197.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,999.6,999.2,-1.0,-0.5
197.0,target,False,999.4,999.6,999.6,999.6,998.0,940.0999999999997,-99.9999999999986,999.6,999.6,999.2,962.1999999999997,999.5
198.0,train,True,-1.9000000000000008,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.6000000000000003,-1.0,-0.5
198.0,train,False,998.3,998.3,998.2,998.1,993.4,995.6,998.1,998.1,985.0,982.9,-99.9999999999986,918.3000000000003
198.0,target,True,-1.9000000000000008,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.6000000000000003,-1.0,-0.5
198.0,target,False,998.2,998.2,998.2,998.0,998.1,998.2,998.2,998.1,931.1999999999997,995.7,-99.9999999999986,-99.9999999999986
199.0,train,True,-2.1000000000000005,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.6000000000000003,-1.0,-0.5
199.0,train,False,989.7,-99.9999999999986,984.8,995.6,999.2,994.6,974.7,997.3,999.4,997.8,-99.9999999999986,999.5
199.0,target,True,-3.5000000000000018,-0.4,-1.1,-1.7000000000000004,-0.4,-0.7999999999999999,-0.6,-1.1,-0.7999999999999999,-1.2,-1.0,-0.5
199.0,target,False,991.7,-99.9999999999986,984.8,994.2,999.2,-99.9999999999986,968.4999999999997,998.8,999.4,996.7,-99.9999999999986,999.5
200.0,train,True,999.0,-0.4,-1.1,-1.5000000000000002,-0.4,-0.7999999999999999,-0.7999999999999999,992.5,-0.6,-1.8000000000000005,-1.0,-0.5
200.0,train,False,-99.9999999999986,-99.9999999999986,967.0999999999997,-99.9999999999986,999.2,945.2999999999997,966.0999999999997,-99.9999999999986,998.2,997.9,-99.9999999999986,921.7000000000003
200.0,target,True,-2.500000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-10.39999999999998,-0.6,-3.5000000000000018,-1.0,-0.5
200.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,960.9999999999997,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,997.7,997.7,-99.9999999999986,981.2
201.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
201.0,train,False,999.2,999.6,999.4,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.5,975.9,-99.9999999999986,-99.9999999999986,993.0
201.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.2,-0.6,-1.0,-1.0,-0.5
201.0,target,False,999.6,999.0,999.6,999.6,-99.9999999999986,992.7,990.1,999.6,965.9999999999997,981.5,-99.9999999999986,-99.9999999999986
202.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,999.0,-1.0,-0.5
202.0,train,False,999.6,999.3,999.6,999.6,996.8,-99.9999999999986,-99.9999999999986,996.4,999.4,999.0,980.3,-99.9999999999986
202.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,999.0,-1.0,-0.5
202.0,target,False,999.6,999.3,999.6,999.6,996.8,-99.9999999999986,-99.9999999999986,987.2,999.4,999.0,985.7,997.9
203.0,train,True,-6.999999999999992,-0.4,999.4,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.4,-0.7999999999999999,-1.2,-1.0,-0.5
203.0,train,False,999.4,999.4,999.4,999.4,999.1,-99.9999999999986,-99.9999999999986,953.2999999999997,-99.9999999999986,967.2999999999997,-99.9999999999986,999.5
203.0,target,True,-6.999999999999992,-0.4,999.4,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.4,-0.7999999999999999,-1.2,-1.0,-0.5
203.0,target,False,999.4,999.4,999.4,999.4,999.1,-99.9999999999986,-99.9999999999986,953.2999999999997,971.5999999999997,973.9,-99.9999999999986,999.1
204.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
204.0,train,False,976.0,970.7999999999997,993.1,988.4,-99.9999999999986,914.9000000000003,-99.9999999999986,988.8,992.1,990.7,-99.9999999999986,993.9
204.0,target,True,-6.999999999999992,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
