model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
201.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
201.0,train,False,7.0,3.0,5.0,3.0,999.0,999.0,999.0,4.0,240.0,999.0,999.0,69.0
201.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,7.0,5.0,9.0,9.0,4.0
201.0,target,False,3.0,9.0,3.0,3.0,999.0,72.0,98.0,3.0,339.0,184.0,999.0,999.0
202.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,9.0,9.0,4.0
202.0,train,False,3.0,6.0,3.0,3.0,31.0,999.0,999.0,35.0,5.0,9.0,196.0,999.0
202.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,9.0,9.0,4.0
202.0,target,False,3.0,6.0,3.0,3.0,31.0,999.0,999.0,127.0,5.0,9.0,142.0,20.0
203.0,train,True,69.0,3.0,5.0,5.0,3.0,7.0,7.0,5.0,7.0,11.0,9.0,4.0
203.0,train,False,5.0,5.0,5.0,5.0,8.0,999.0,999.0,466.0,999.0,326.0,999.0,4.0
203.0,target,True,69.0,3.0,5.0,5.0,3.0,7.0,7.0,5.0,7.0,11.0,9.0,4.0
203.0,target,False,5.0,5.0,5.0,5.0,8.0,999.0,999.0,466.0,283.0,260.0,999.0,8.0
204.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
204.0,train,False,239.0,291.0,68.0,115.0,999.0,850.0,999.0,111.0,78.0,92.0,999.0,60.0
204.0,target,True,69.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
204.0,target,False,165.0,69.0,142.0,56.0,999.0,999.0,917.0,26.0,142.0,17.0,999.0,57.0
205.0,train,True,18.0,3.0,5.0,5.0,3.0,7.0,5.0,5.0,3.0,7.0,9.0,4.0
205.0,train,False,5.0,5.0,5.0,485.0,932.0,999.0,999.0,5.0,4.0,7.0,999.0,4.0
205.0,target,True,18.0,3.0,5.0,5.0,3.0,7.0,5.0,5.0,3.0,7.0,9.0,4.0
205.0,target,False,5.0,5.0,5.0,328.0,43.0,999.0,999.0,5.0,3.0,7.0,999.0,4.0
206.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,7.0,3.0,7.0,9.0,4.0
206.0,train,False,3.0,3.0,3.0,3.0,13.0,11.0,13.0,3.0,3.0,9.0,999.0,12.0
206.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,7.0,3.0,7.0,9.0,4.0
206.0,target,False,3.0,3.0,3.0,3.0,13.0,11.0,13.0,3.0,3.0,9.0,999.0,12.0
207.0,train,True,5.0,3.0,10.0,11.0,3.0,7.0,5.0,14.0,3.0,11.0,9.0,4.0
207.0,train,False,6.0,11.0,63.0,43.0,9.0,999.0,999.0,14.0,3.0,128.0,999.0,4.0
207.0,target,True,5.0,3.0,10.0,11.0,3.0,7.0,5.0,12.0,3.0,11.0,9.0,4.0
207.0,target,False,6.0,11.0,63.0,43.0,9.0,999.0,999.0,14.0,3.0,128.0,999.0,4.0
208.0,train,True,27.0,3.0,76.0,12.0,3.0,7.0,5.0,14.0,5.0,11.0,9.0,4.0
208.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,552.0,999.0,999.0,999.0,999.0
208.0,target,True,27.0,3.0,17.0,10.0,3.0,7.0,7.0,14.0,5.0,11.0,9.0,4.0
208.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,227.0,999.0,999.0,999.0,999.0,999.0
209.0,train,True,27.0,3.0,41.0,12.0,3.0,7.0,7.0,12.0,5.0,11.0,9.0,4.0
209.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
209.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
209.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
210.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
210.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
210.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
