experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
87,400000,1,0.0001,adam,max,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,11213,10703966,4799,1000331,1122,909658,953,203414,0.9635244805136894,0.8288770053475936,954.6032283956123,89.21171854097922,810.74688057041,181.2959001782531,10.0,71.11537368570616,999.0,953.1044330775787,11.0,90.26345609065157,998.9,911.6535410764876
88,400000,1,0.1,adam,max,1000,tanh,10,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,5503,4762981,4612,1000182,551,349122,770,188773,0.8836998001090315,0.6678765880217786,865.5244412138834,181.7521351989824,633.6152450090744,342.6007259528131,14.0,156.98430634023853,998.6,874.4459510357817,18.0,365.1375,998.2,607.2362500000005
89,400000,1,0.001,adam,max,1000,tanh,10,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,11832,11189965,4735,1000344,1184,995363,778,186366,0.9541920216362408,0.8564189189189191,945.7374070317784,84.54563894523326,840.6782094594595,157.40371621621622,14.0,104.45594989561589,998.6,916.4855114822548,16.0,186.34439834024897,998.4,807.0917012448135
90,500000,1,0.0001,adam,max,1000,tanh,10,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,11141,10638921,4580,1000781,1115,900481,856,205183,0.9639170631002604,0.8260089686098655,954.9341172246657,89.82865092900099,807.6062780269058,184.02062780269054,10.0,55.581765877406504,999.0,970.542730692631,11.0,96.7924944812362,998.9,904.2280353200883
91,500000,1,0.1,adam,max,1000,tanh,10,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,4886,4116923,4594,1000764,489,315793,668,162070,0.8630781825624233,0.6789366053169734,842.5957838722882,204.82275890298814,645.7934560327199,331.43149284253576,13.0,214.2114726027397,998.7,803.9213184931509,14.0,280.02542372881356,998.6,700.811016949153
92,500000,1,0.001,adam,max,1000,tanh,10,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,11162,10508978,4636,1000213,1117,959223,662,157768,0.9504569073642716,0.8728737690241719,941.4959684644326,89.60876187063248,858.7493285586393,141.24261414503133,15.0,118.60805687203792,998.5,901.4093364928908,15.0,144.71698113207546,998.5,853.4528301886795
93,100000,1,0.0001,adam,max,1000,tanh,16,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,29890,29425911,5000,1000889,2990,2789768,898,212313,0.9878220140515224,0.940133779264214,984.4734359317496,33.48574774171964,933.0327759197323,71.00769230769231,10.0,16.369553840115138,999.0,994.8958197043048,11.0,19.988888888888887,998.9,989.5043790849677
94,100000,1,0.1,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,13166,12505985,5101,1000145,1317,1129360,744,186391,0.9574662008202948,0.8716780561883067,949.8697402400121,75.96422603676136,857.5246772968869,141.52695520121492,14.0,71.52116704805492,998.6,951.6579519450804,15.0,104.99714285714286,998.5,898.0717142857144
95,100000,1,0.001,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,3134,2271999,4858,1000006,314,159777,546,142226,0.7568602425015954,0.554140127388535,724.9518187619658,319.0829610721123,508.84394904458605,452.9490445859874,14.0,290.8654292343388,998.6,753.9761020881673,16.0,398.41379310344826,998.4,569.3540229885064
96,200000,1,0.0001,adam,max,1000,tanh,16,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,12720,12107943,4749,1000567,1273,1095689,689,173107,0.959748427672956,0.8743126472898665,951.8823113207548,78.66092767295598,860.7140612725842,135.98350353495678,10.0,72.50722961249276,999.0,947.0581260844417,11.0,79.73198847262248,998.9,922.8625360230548
97,200000,1,0.1,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,8007,7308941,5225,1000590,801,603208,851,187913,0.925315349069564,0.7765293383270911,912.8189084551018,124.96440614462344,753.0686641697878,234.59800249687888,14.0,109.239092495637,998.6,918.8317626527053,15.5,189.55217391304348,998.45,802.7839130434787
98,200000,1,0.001,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,3275,2401968,5056,1000311,328,159481,690,155186,0.7639694656488549,0.5335365853658537,733.4253435114504,305.4384732824428,486.22256097560967,473.1280487804878,13.0,256.13613101330606,998.7,777.8664278403278,16.0,411.2020202020202,998.4,554.8393939393945
99,300000,1,0.0001,adam,max,1000,tanh,16,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,8190,7498991,5018,1000086,820,609184,892,198154,0.927838827838828,0.7670731707317073,915.6277167277167,122.1106227106227,742.9073170731708,241.65121951219515,10.0,111.21488701816573,999.0,912.671156402304,11.0,128.29955947136565,998.9,868.2273127753308
100,300000,1,0.1,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,10679,10030972,5665,1000272,1068,847829,1094,211704,0.948684333739114,0.8136704119850188,939.3175390954207,93.66719730311829,793.8473782771538,198.22471910112358,13.0,91.33674214755295,998.7,932.429510591673,15.0,168.77737226277372,998.5,826.1879562043797
101,300000,1,0.001,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,2801,1886997,5659,1000022,281,145505,643,124948,0.7093895037486612,0.5622775800711743,673.6868975365942,357.023205997858,517.8113879003558,444.65480427046265,15.0,288.2183908045977,998.5,737.8448275862073,16.0,360.125,998.4,611.7147727272733
102,400000,1,0.0001,adam,max,1000,tanh,16,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,6945,6211983,5550,1000169,695,482132,1012,198679,0.908855291576674,0.7223021582733813,894.4539956803453,144.012814974802,693.7151079136688,285.86906474820137,10.0,132.34656084656083,999.0,893.1145502645503,11.0,197.83157894736843,998.9,790.7431578947372
103,400000,1,0.1,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,9342,8704927,5611,1000729,935,688655,1192,233441,0.9425176621708412,0.7614973262032085,931.8055020338256,107.12149432669665,736.5294117647059,249.6695187165776,13.0,87.90976123595507,998.7,941.3494733146068,14.0,169.1853146853147,998.6,825.7388111888115
104,400000,1,0.001,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,2369,1438958,5259,1000413,237,102654,596,123460,0.6496411988180667,0.4852320675105485,607.4115660616294,422.29337273111014,433.13924050632914,520.9282700421942,164.0,456.57559198542816,983.6,553.6138433515489,1000.0,532.5636363636364,-99.9999999999986,419.4709090909098
105,500000,1,0.0001,adam,max,1000,tanh,16,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,6449,5707974,5235,1000253,645,429970,967,200299,0.9006047449216933,0.6976744186046512,885.0944332454643,155.1020313226857,666.6201550387598,310.5410852713178,11.0,158.3759493670886,998.9,864.5421518987342,13.0,272.75471698113205,998.7,708.5735849056607
106,500000,1,0.1,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,8726,8072929,6161,1000703,873,641029,1221,219709,0.9366261746504698,0.7594501718213058,925.1580334632132,114.68060967224388,734.2829324169528,251.67124856815587,13.0,121.8388510223953,998.7,916.7352969814997,14.0,209.91262135922332,998.6,779.9796116504857
107,500000,1,0.001,adam,max,1000,tanh,16,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,2634,1715940,6095,1000600,264,115331,753,136683,0.6894457099468491,0.4886363636363637,651.4578587699317,379.87851176917235,436.8598484848485,517.7386363636364,24.0,376.39699248120314,997.6,640.5557894736847,1000.0,550.3970588235294,-99.9999999999986,400.8426470588242
108,100000,1,0.0001,adam,max,1000,tanh,32,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,59348,59086998,5735,1000013,5935,5734253,1036,237467,0.9972871874368132,0.9701769165964615,995.6021769899576,16.849986520186018,966.1757371524852,40.01128896377422,9.0,12.407960692838357,999.1,997.0221450196041,10.0,16.444940476190474,999.0,991.9070932539684
109,100000,1,0.1,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,33711,33287999,5995,1000001,3372,3228469,757,175301,0.9904185577407968,0.9626334519572952,987.452137284566,29.66393758713773,957.4344602609727,51.987247924080656,11.0,16.81102995376265,998.9,995.5044495074716,13.0,28.88286479250335,998.7,981.0474564926371
110,100000,1,0.001,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,48454,48188998,5969,1000014,4846,4773593,621,134062,0.9965947083832088,0.987825010317788,994.5308540058612,20.638419944689808,985.0583986793233,27.664465538588534,14.0,15.893515575333755,998.6,997.1391926255562,16.0,16.05463786531131,998.4,997.7592121982212
111,200000,1,0.0001,adam,max,1000,tanh,32,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,32332,31914999,5671,1000007,3234,2954676,1174,283239,0.990195471978226,0.922387136672851,987.1025300012371,30.92932698255598,913.6289424860852,87.58163265306122,9.0,16.90702228224173,999.1,994.7981566509116,10.0,26.460188933873145,999.0,981.1596491228073
112,200000,1,0.1,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,8462,7726950,5709,1000498,847,667709,697,172907,0.9249586386197116,0.8087367178276269,913.1351926258568,118.23422358780432,788.3223140495868,204.1404958677686,15.0,62.6050462153385,998.5,958.0162877841619,16.0,101.26616915422886,998.4,902.8087064676618
113,200000,1,0.001,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,18916,18352999,5869,1000001,1892,1722860,757,181399,0.975523366462254,0.9201902748414376,970.2367836751956,52.86535208289279,910.6025369978861,95.87684989429177,17.0,32.93517911035297,998.3,983.7160608843983,17.0,42.79554390563565,998.3,969.508125819135
114,300000,1,0.0001,adam,max,1000,tanh,32,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,15476,14918952,5577,1000471,1548,1268255,1087,267450,0.9704704057896096,0.83656330749354,964.0056862238304,64.6466141121737,819.2861757105942,172.77131782945736,9.0,75.3912912912913,999.1,945.9143243243243,11.0,125.82335329341318,998.9,870.6511976047905
115,300000,1,0.1,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,4331,3549994,5589,1000053,434,247685,697,173145,0.8427614869545139,0.6105990783410138,819.6707457861926,230.9057954283076,570.7027649769585,398.9516129032258,16.0,154.73671199011125,998.4,883.7846724351053,18.0,245.22699386503064,998.2,742.3484662576691
116,300000,1,0.001,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,10709,10030983,5728,1000162,1071,896716,710,172840,0.9460267065085444,0.8534080298786181,936.6871790083107,93.39452796713046,837.2698412698413,161.38188608776844,17.0,85.3993185689949,998.3,935.2420102214653,18.0,133.55782312925172,998.2,867.596598639456
117,400000,1,0.0001,adam,max,1000,tanh,32,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,23661,23216979,5528,1000210,2367,2081949,1150,280505,0.98546130763704,0.8914237431347698,981.2340560415877,42.27251595452432,879.5728770595691,118.50654837346852,9.0,26.26782718120805,999.1,989.0888213087248,10.0,50.8523560209424,999.0,954.0770680628273
118,400000,1,0.1,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,3488,2676957,5596,1000421,349,184783,603,152162,0.7961582568807339,0.5730659025787965,767.4762041284404,286.8179472477064,529.4641833810888,435.9942693409742,18.0,234.32866479925303,998.2,806.6324929971993,18.0,279.8703703703704,998.2,703.4944444444452
119,400000,1,0.001,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,9883,9205922,5722,1000771,989,809373,721,176264,0.9416169179398968,0.8361981799797775,931.4906404937773,101.26186380653648,818.3751263902933,178.2244691607684,17.0,101.08642972536349,998.3,924.8671243941844,18.0,174.28112449799198,998.2,821.9293172690767
120,500000,1,0.0001,adam,max,1000,tanh,32,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,16756,16229951,5667,1000483,1676,1381810,1173,281900,0.9745762711864406,0.8412887828162291,968.605335402244,59.70894008116496,824.4689737470168,168.1980906921241,9.0,55.2022496691663,999.1,968.895302161447,10.0,106.420704845815,999.0,892.4416299559474
121,500000,1,0.1,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,3413,2580994,5588,1000057,342,179994,603,150054,0.7855259302666276,0.5701754385964912,756.2244359800761,293.0140638734252,526.2982456140351,438.75438596491233,18.0,239.9338446788111,998.2,790.9634707574309,16.0,276.9428571428571,998.4,705.6390476190477
122,500000,1,0.001,adam,max,1000,tanh,32,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,16266,15723997,5770,1000023,1627,1447404,792,185953,0.972826755194885,0.9010448678549478,966.678777818763,61.47934341571376,889.6152427781192,114.2919483712354,17.0,34.123414700668214,998.3,985.5417018955408,17.0,57.16348773841962,998.3,953.4117166212536
123,100000,1,0.0001,adam,max,1000,tanh,64,1000000,0.1,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,2028,1189967,8282,1000324,203,34626,617,153737,0.636094674556213,0.24630541871921185,586.7687376725838,493.2564102564103,170.57142857142858,757.3251231527094,1000.0,845.1858108108107,-99.9999999999986,145.21114864864973,1000.0,934.3,-99.9999999999986,-26.76333333333203
124,100000,1,0.1,adam,max,1000,tanh,64,1000000,0.01,0.75,0.99,100,1,False,4917,"[-10, 1000, -0.1]",180,n,1177,147956,9509,1000432,118,-3011,445,110119,0.2107051826677995,0.06779661016949153,125.70603228547155,849.9847068819031,-25.51694915254237,933.2118644067797,1000.0,955.7748091603054,-99.9999999999986,-49.775954198471936,1000.0,1000.0,-99.9999999999986,-99.9999999999986
