experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,nconv,cnnfilter,cnnsize,optimizer_lr,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
818,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,5790,4302993,201957,2000067,580,272233,944,317662,0.777720207253886,0.5241379310344828,743.1766839378238,345.4347150259067,469.36724137931037,547.6931034482759,1000.0,915.5191956124314,-99.9999999999986,29.106215722121878,1000.0,975.625,-99.9999999999986,-43.9910714285701
822,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,5423,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2671,772973,336297,2000267,268,2069,1091,249303,0.36428304005990264,0.10074626865671642,289.39460876076373,748.8831898165481,7.720149253731344,930.2350746268656,1000.0,913.5638686131387,-99.9999999999986,49.15456204379681,1000.0,925.2142857142857,-99.9999999999986,-3.2357142857130237
823,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2651,744954,311562,2000455,266,-8426,1076,254266,0.3564692568841946,0.06390977443609022,281.00867597133157,754.6039230479065,-31.67669172932331,955.8872180451128,1000.0,913.7043795620438,-99.9999999999986,47.315693430658115,1000.0,907.8392857142857,-99.9999999999986,16.35892857142982
820,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2730,845998,270630,2000018,274,11301,907,246982,0.3831501831501832,0.13138686131386862,309.8893772893773,732.607326007326,41.24452554744526,901.3941605839416,1000.0,916.7344322344322,-99.9999999999986,40.19468864468985,1000.0,914.5892857142857,-99.9999999999986,33.54107142857263
802,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,1746,681834,383275,1191653,174,-3491,1053,164913,0.4587628865979381,0.07471264367816093,390.51202749140896,682.5045819014891,-20.063218390804597,947.7758620689655,1000.0,836.641456582633,-99.9999999999986,148.82885154061728,1000.0,936.8333333333334,-99.9999999999986,45.20555555555674
801,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,5423,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,1740,664974,383239,1190259,174,1783,1032,162166,0.45057471264367815,0.10344827586206896,382.16896551724136,684.0568965517241,10.24712643678161,931.9885057471264,1000.0,863.8405797101449,-99.9999999999986,122.31159420289964,1000.0,928.5142857142857,-99.9999999999986,-7.137142857141581
799,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,3470,1769973,169401,2000263,348,54594,1301,284056,0.5677233429394812,0.23850574712643677,510.078674351585,576.4446685878962,156.8793103448276,816.2528735632184,1000.0,845.9476351351351,-99.9999999999986,141.7565878378389,1000.0,872.1967213114754,-99.9999999999986,76.71475409836182
803,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,1886,713024,383124,1299755,188,-3742,1092,177426,0.4469777306468717,0.07446808510638298,378.06150583244965,689.1595970307529,-19.904255319148938,943.7553191489362,1000.0,826.8880407124682,-99.9999999999986,148.863358778627,1000.0,889.8205128205128,-99.9999999999986,39.22307692307814
804,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,1998,1059112,382952,1198875,199,8189,1148,178106,0.5900900900900901,0.1306532663316583,530.0860860860861,600.0375375375376,41.15075376884422,895.0050251256281,1000.0,866.9653179190751,-99.9999999999986,121.39595375722655,1000.0,968.6176470588235,-99.9999999999986,-38.038235294116305
813,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,3717,2075989,242761,2000101,372,79117,1298,288824,0.6123217648641377,0.2903225806451613,558.5119720204466,538.0955071294054,212.68010752688173,776.4086021505376,1000.0,851.3724489795918,-99.9999999999986,139.35255102040924,1000.0,946.4333333333333,-99.9999999999986,22.023333333334563
814,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,3183,1385992,305123,2000076,319,31421,1189,275781,0.4982720703738611,0.18495297805642633,435.43575243480996,628.3619227144203,98.49843260188088,864.5172413793103,1000.0,891.085409252669,-99.9999999999986,72.81316725978762,1000.0,931.1228070175439,-99.9999999999986,12.150877192983703
800,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[5, 3]",0.001,CNN subordinate only,1798,680713,383296,1232867,179,-2795,1001,167954,0.4471635150166852,0.0782122905027933,378.5945494994438,685.6879866518353,-15.614525139664805,938.2905027932961,1000.0,866.4325842696629,-99.9999999999986,101.55898876404606,1000.0,943.1714285714286,-99.9999999999986,-37.1742857142844
810,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,101134,100885999,103435,2000002,10114,10033157,1008,238424,0.9995253821662349,0.9943642475776152,997.5477979710088,19.775762849289062,992.0068222266166,23.573660272889065,10.0,11.592075672918646,999.0,998.794424222753,9.0,10.91886879925823,999.1,998.9081131200741
